"";"rt";"subject";"condition";"condition_code";"measure";"measure_code";"val";"type";"type_specific";"category";"cs_selected";"target";"nr_pres";"response"
"162";547;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"2";"2/CS6";"28";17;1
"166";1042;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"3";"3/CS5";"33";18;1
"170";1507;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"2";"2/CS5";"15";19;1
"174";5986;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"3";"3/CS8";"21";20;0
"178";1943;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"1";"1/CS10";"16";21;1
"182";851;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"1";"1/CS7";"5";22;1
"186";2059;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"3";"3/CS1";"27";23;1
"191";975;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"3";"3/CS10";"34";24;1
"195";1473;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"1";"1/CS4";"6";25;0
"199";2627;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"1";"1/GS2";"12";26;0
"203";856;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"4";"4/CS7";"8";27;1
"207";1443;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"GS";"abstract";"2";"2/men";"19";28;1
"211";940;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"4";"4/CS3";"9";29;1
"215";898;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"3";"3/GS3";"32";30;0
"219";939;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"GS";"abstract";"3";"3/wang";"20";31;1
"223";1491;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"1";"1/GS1";"40";32;1
"227";1037;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"3";"3/CS7";"39";33;1
"231";750;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"2";"2/GS2";"46";34;1
"235";692;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"2";"2/GS3";"7";35;1
"239";1269;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"1";"1/GS3";"24";36;1
"243";1395;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"3";"3/GS1";"4";37;0
"247";883;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"GS";"abstract";"4";"4/lin";"48";38;1
"251";1060;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"GS";"abstract";"1";"1/ma";"26";39;0
"255";1994;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"2";"2/GS1";"25";40;0
"259";740;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"4";"4/GS1";"14";41;1
"263";1324;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"4";"4/GS3";"2";42;1
"267";723;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"1";"1/CS1";"30";43;1
"271";523;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"4";"4/CS8";"10";44;0
"275";887;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"3";"3/GS2";"38";45;1
"279";452;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"1";"1/CS2";"35";46;1
"283";289;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"4";"4/GS2";"43";47;1
"433";3378,24500026181;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"4";"4/CS6";"16";0;0
"437";1791,55000019819;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"2";"2/CS4";"37";1;1
"441";1521,99000027031;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"3";"3/CS9";"26";2;1
"445";456,275000236928;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"3";"3/CS5";"45";3;0
"449";898,010000120848;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"2";"2/CS8";"24";4;0
"453";498,099999967963;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"3";"3/CS10";"36";5;1
"457";1054,38999971375;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"2";"2/CS9";"10";6;0
"461";464,649999979883;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"2";"2/CS1";"46";7;0
"465";415,084999985993;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"2";"2/CS5";"34";8;0
"469";551,480000372976;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"4";"4/CS3";"11";9;0
"473";277,9899998568;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"3";"3/CS6";"28";10;1
"477";403,26499985531;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"1";"1/CS8";"47";11;0
"481";176,200000103563;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"4";"4/CS10";"42";12;1
"485";139,749999623746;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"4";"4/CS5";"35";13;1
"489";234,044999815524;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"2";"2/CS2";"48";14;0
"493";233,539999928325;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"1";"1/CS6";"32";15;0
"497";629,25500003621;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"1";"1/CS9";"9";16;1
"501";189,760000444949;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"3";"3/CS8";"8";17;1
"505";56,7350001074374;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"1";"1/CS4";"33";18;0
"509";115,645000245422;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"4";"4/CS1";"18";19;1
"513";105,979999992996;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"1";"1/CS10";"3";20;0
"517";54,7199998982251;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"2";"2/CS7";"5";21;1
"521";194,409999996424;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"2";"2/CS10";"30";22;0
"525";160,050000064075;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"1";"1/CS5";"7";23;0
"530";713,554999791086;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"3";"3/GS1";"43";24;0
"534";149,404999800026;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"1";"1/GS1";"2";25;1
"538";285,61000013724;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"1";"1/GS3";"38";26;1
"542";94,3249999545515;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"4";"4/GS3";"1";27;1
"546";601,865000091493;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"3";"3/GS2";"29";28;0
"550";445,115000009537;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"2";"2/GS3";"27";29;0
"554";940,345000009984;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"GS";"abstract";"4";"4/lin";"39";30;1
"558";259,904999751598;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"1";"1/GS2";"15";31;0
"562";269,505000207573;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"3";"3/CS1";"44";32;1
"566";158,689999952912;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"4";"4/GS2";"31";33;0
"570";100,115000270307;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"2";"2/GS2";"4";34;0
"574";1040,41500017047;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"GS";"abstract";"2";"2/men";"17";35;0
"578";339,499999769032;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"GS";"abstract";"3";"3/wang";"41";36;1
"582";418,479999992996;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"4";"4/GS1";"23";37;1
"586";90,46999970451;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"2";"2/GS1";"19";38;1
"590";393,815000075847;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"3";"3/CS4";"6";39;1
"594";120,815000031143;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"4";"4/CS7";"20";40;0
"598";553,314999677241;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"4";"4/CS9";"12";41;0
"602";329,725000075996;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"1";"1/CS1";"21";42;0
"606";349,615000188351;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"3";"3/CS7";"40";43;1
"610";908,924999646842;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"GS";"abstract";"1";"1/ma";"13";44;0
"614";416,195000056177;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"3";"3/GS3";"22";45;1
"618";291,449999902397;"03rysffm8e";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"1";"1/CS3";"14";46;0
"622";254,189999774098;"03rysffm8e";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"4";"4/CS2";"25";47;1
"821";3926,99999999988;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"2";"2/CS7";"5";0;0
"825";422;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"3";"3/CS7";"14";1;1
"829";2111;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"1";"1/CS7";"27";2;1
"833";574;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"2";"2/CS10";"18";3;0
"837";336;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"3";"3/CS1";"16";4;1
"841";340;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"2";"2/CS8";"3";5;0
"845";551;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"4";"4/CS5";"28";6;0
"849";473;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"2";"2/CS4";"43";7;0
"853";521;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"2";"2/CS5";"22";8;0
"857";460;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"2";"2/CS2";"41";9;0
"861";1668;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"4";"4/CS9";"38";10;1
"865";324;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"2";"2/CS3";"47";11;0
"869";630;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"1";"1/CS5";"9";12;0
"873";366;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"4";"4/CS1";"35";13;0
"877";326;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"1";"1/CS8";"33";14;0
"881";354,000000000116;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"3";"3/CS3";"31";15;1
"885";522;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"2";"2/CS9";"21";16;0
"889";481;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"3";"3/CS5";"4";17;1
"893";200,000000000116;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"3";"3/CS8";"17";18;1
"897";593;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"1";"1/CS2";"11";19;0
"901";1479,00000000012;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"1";"1/CS3";"20";20;1
"905";338,999999999884;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"4";"4/CS2";"25";21;0
"909";470;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"3";"3/CS2";"6";22;1
"913";305;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"4";"4/CS10";"40";23;0
"918";2046;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"3";"3/GS3";"15";24;0
"922";174;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"4";"4/CS6";"32";25;0
"926";318;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"4";"4/GS3";"7";26;0
"930";148,000000000116;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"4";"4/GS1";"13";27;0
"934";479;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"3";"3/GS2";"19";28;0
"938";127;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"GS";"abstract";"2";"2/men";"8";29;0
"942";171;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"1";"1/GS1";"2";30;0
"946";104;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"GS";"abstract";"4";"4/lin";"23";31;0
"950";1020;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"2";"2/GS2";"46";32;0
"954";591;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"3";"3/CS4";"39";33;1
"958";285;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"4";"4/CS8";"12";34;0
"962";75;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"1";"1/CS1";"1";35;0
"966";266;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"GS";"abstract";"3";"3/wang";"24";36;1
"970";239;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"1";"1/CS9";"42";37;0
"974";260;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"1";"1/GS2";"26";38;0
"978";75;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"2";"2/GS1";"45";39;0
"982";148;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"3";"3/GS1";"10";40;0
"986";217;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"1";"1/CS4";"36";41;0
"990";611;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"4";"4/GS2";"48";42;0
"994";113;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"4";"4/CS3";"34";43;0
"998";547;"05j2327rvx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"2";"2/GS3";"30";44;0
"1002";284;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"GS";"abstract";"1";"1/ma";"29";45;0
"1006";62;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"1";"1/GS3";"44";46;0
"1010";538;"05j2327rvx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"3";"3/CS9";"37";47;1
"1111";4395;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSold";"3";"3/CS7";"17";0;0
"1115";4634;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSold";"4";"4/CS8";"2";1;0
"1119";942;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"pos";"CS";"CS";"4";"4/CS4";"29";2;1
"1123";1531;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSold";"4";"4/CS2";"26";3;1
"1127";1021;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSold";"3";"3/CS3";"7";4;1
"1131";1374;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSold";"3";"3/CS2";"19";5;1
"1135";7071;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"neg";"CS";"CS";"3";"3/CS5";"6";6;0
"1139";2827;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"pos";"CS";"CS";"1";"1/CS6";"48";7;1
"1143";3548;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSold";"2";"2/CS6";"3";8;1
"1147";2741;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"neg";"CS";"CS";"2";"2/CS1";"44";9;0
"1151";3610;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSold";"1";"1/CS3";"27";10;0
"1155";3696;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSold";"4";"4/CS1";"33";11;0
"1159";4907;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSold";"2";"2/CS2";"4";12;1
"1163";1057;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSold";"1";"1/CS9";"30";13;1
"1167";1057;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSold";"2";"2/CS4";"37";14;1
"1171";1368;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSold";"1";"1/CS5";"5";15;1
"1176";799;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSnew";"3";"3/GS3";"8";16;1
"1180";1948;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"neg";"GS";"abstract";"2";"2/men";"16";17;0
"1184";901;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSnew";"4";"4/GS3";"38";18;1
"1188";1076;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSnew";"1";"1/GS2";"18";19;1
"1192";1757;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSnew";"3";"3/GS1";"10";20;0
"1196";5998;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"neg";"GS";"abstract";"3";"3/wang";"13";21;0
"1200";4234;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSnew";"2";"2/GS2";"11";22;0
"1204";1573;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSnew";"4";"4/GS2";"46";23;0
"1208";2777;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"pos";"GS";"abstract";"4";"4/lin";"43";24;1
"1212";619;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSnew";"3";"3/GS2";"34";25;1
"1216";2431;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSnew";"2";"2/GS1";"9";26;0
"1220";2505;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"pos";"GS";"abstract";"1";"1/ma";"12";27;1
"1224";772;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSnew";"4";"4/GS1";"28";28;1
"1228";813;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSnew";"1";"1/GS1";"32";29;1
"1232";768;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSnew";"1";"1/GS3";"47";30;1
"1236";337;"0l6bvae9bs";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSnew";"2";"2/GS3";"41";31;1
"1370";2636;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"3";"3/CS3";"42";0;1
"1374";2569;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"2";"2/CS1";"47";1;0
"1378";1634;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"4";"4/CS9";"18";2;0
"1382";1668;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"2";"2/CS3";"32";3;1
"1386";789;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"3";"3/CS8";"35";4;1
"1390";1530;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"1";"1/CS10";"9";5;1
"1394";1245;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"1";"1/CS6";"36";6;0
"1398";1368;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"3";"3/CS1";"25";7;1
"1402";1334;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"1";"1/CS3";"14";8;1
"1406";1297;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"1";"1/CS4";"44";9;1
"1410";862;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"4";"4/CS3";"6";10;0
"1414";814;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"4";"4/CS4";"4";11;0
"1418";773;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"4";"4/CS2";"27";12;1
"1422";852;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"2";"2/CS5";"1";13;1
"1426";1568;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"1";"1/CS2";"41";14;1
"1430";429;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"1";"1/CS7";"40";15;0
"1434";432;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"3";"3/CS2";"38";16;0
"1438";542;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"2";"2/CS10";"21";17;0
"1442";1124;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"2";"2/CS6";"17";18;0
"1446";823;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"1";"1/CS8";"16";19;1
"1450";667;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"2";"2/CS8";"45";20;1
"1454";873;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"3";"3/CS10";"30";21;0
"1458";561;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"1";"1/CS5";"37";22;0
"1462";411;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"4";"4/CS8";"48";23;1
"1467";586;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"4";"4/CS6";"12";24;1
"1471";559;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"2";"2/CS4";"46";25;1
"1475";745;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"GS";"abstract";"3";"3/wang";"19";26;0
"1479";523;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"2";"2/GS3";"2";27;1
"1483";637;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"3";"3/CS6";"33";28;0
"1487";497;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"3";"3/CS7";"10";29;1
"1491";1276;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"pos";"GS";"abstract";"4";"4/lin";"7";30;0
"1495";761;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"2";"2/CS7";"22";31;1
"1499";624;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"pos";"GS";"abstract";"2";"2/men";"5";32;0
"1503";442;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"3";"3/GS3";"23";33;0
"1507";470;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"GS";"abstract";"1";"1/ma";"13";34;0
"1511";626;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"1";"1/GS2";"43";35;0
"1515";374;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"4";"4/CS10";"29";36;1
"1519";690;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"3";"3/GS1";"28";37;0
"1523";611;"0m0jrs2srj";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"3";"3/GS2";"31";38;1
